City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather
78,Putina,PE,-15.4667,-69.4333,49.86,63,90,7.36,overcast clouds
79,Flinders,AU,-34.5833,150.8552,69.39,70,99,8.99,light rain
80,Komsomolskiy,UZ,40.4272,71.7189,42.22,37,49,4.61,scattered clouds
81,Sungaipenuh,ID,-2.0833,101.3833,65.14,100,100,1.61,overcast clouds
82,Port Lincoln,AU,-34.7333,135.8667,65.52,80,100,16.13,overcast clouds
83,Jiazi,CN,22.8779,116.067,56.16,78,97,16.17,overcast clouds
84,Deputatskiy,RU,69.3,139.9,-28.44,96,100,3.29,overcast clouds
85,Barrow,US,71.2906,-156.7887,-11.18,70,100,14.97,light snow
86,La Romana,DO,18.4273,-68.9728,82.76,61,40,16.11,scattered clouds
87,East London,ZA,-33.0153,27.9116,67.14,94,75,8.05,light intensity drizzle
88,Sioux Lookout,CA,50.1001,-91.917,-0.02,78,100,9.22,overcast clouds
89,Arraial Do Cabo,BR,-22.9661,-42.0278,89.56,66,0,19.57,clear sky
90,Muskegon,US,43.3,-86.1334,22.82,82,100,9.22,overcast clouds
91,Tiksi,RU,71.6872,128.8694,-21.48,98,100,7.63,overcast clouds
92,Tasiilaq,GL,65.6145,-37.6368,28.56,59,100,11.03,overcast clouds
93,Provideniya,RU,64.3833,-173.3,-5.3,86,3,11.77,clear sky
94,Aykino,RU,62.2248,49.9922,-0.44,99,64,4.09,broken clouds
95,Kidal,ML,18.4411,1.4078,78.35,8,0,12.12,clear sky
96,Qaanaaq,GL,77.484,-69.3632,0.14,69,86,6.53,overcast clouds
97,Grand Gaube,MU,-20.0064,57.6608,81.0,79,100,8.99,overcast clouds
98,Baruun-Urt,MN,46.6806,113.2792,-0.47,90,17,6.76,few clouds
99,Muyezerskiy,RU,63.9333,31.65,18.03,91,100,13.44,light snow
100,Bandarbeyla,SO,9.4942,50.8122,76.17,67,15,10.76,few clouds
101,Nishihara,JP,26.1842,127.7558,56.86,62,75,19.57,broken clouds
102,Kavaratti,IN,10.5669,72.642,78.98,61,34,11.7,scattered clouds
103,Boende,CD,-0.2167,20.8667,91.9,33,76,2.15,broken clouds
104,Nikolskoye,RU,59.7035,30.7861,24.87,92,100,11.86,snow
105,Marsa Matruh,EG,31.3525,27.2453,58.39,69,6,12.48,clear sky
106,Cayenne,GF,4.9333,-52.3333,84.24,82,75,5.01,broken clouds
107,Faanui,PF,-16.4833,-151.75,80.91,69,13,16.49,few clouds
108,Olinda,BR,-8.0089,-34.8553,85.73,58,40,6.91,scattered clouds
109,Ormara,PK,25.2088,64.6357,72.18,65,0,11.12,clear sky
110,Talaya,RU,61.3833,152.75,-26.27,95,99,1.95,overcast clouds
111,Rantauprapat,ID,2.1,99.8333,73.85,97,100,2.55,overcast clouds
112,Westport,US,41.1415,-73.3579,27.99,72,20,4.0,few clouds
113,Taoudenni,ML,22.6783,-3.9836,81.86,6,27,9.4,scattered clouds
114,Upernavik,GL,72.7868,-56.1549,0.88,97,100,3.42,overcast clouds
115,Dingle,PH,10.9995,122.6711,75.15,81,27,12.75,scattered clouds
116,Otyniya,UA,48.7377,24.8611,37.35,77,99,12.84,overcast clouds
117,Princeton,US,25.5384,-80.4089,81.0,71,40,4.61,scattered clouds
118,Altamira,BR,-3.2033,-52.2064,81.18,83,99,0.72,overcast clouds
119,Dornoch,GB,57.8805,-4.0288,40.98,80,77,24.25,moderate rain
120,Xichang,CN,27.8964,102.2634,45.07,75,91,0.98,overcast clouds
121,Ambon,ID,-3.6954,128.1814,78.94,89,20,6.91,light rain
122,Smithers,CA,54.7804,-127.1743,39.52,65,75,0.0,broken clouds
123,Cacapava Do Sul,BR,-30.5122,-53.4914,88.47,35,88,10.96,overcast clouds
124,Labuhan,ID,-6.8844,112.2051,78.96,88,100,7.9,overcast clouds
125,Lebu,CL,-37.6167,-73.65,64.27,64,0,18.25,clear sky
126,Geraldton,AU,-28.7667,114.6,68.41,94,1,4.61,clear sky
127,Dagana,MR,16.5165,-15.5068,97.18,5,0,9.86,clear sky
128,La Ronge,CA,55.1001,-105.2842,-10.95,70,75,6.91,broken clouds
129,Manoel Urbano,BR,-8.8389,-69.2597,80.76,74,100,3.36,overcast clouds
130,Jand,PK,33.4299,72.0193,56.61,33,100,0.2,overcast clouds
131,Lompoc,US,34.6391,-120.4579,60.08,64,0,6.91,clear sky
